brand,offer,details,timestamp
"VENUS®","$3.00 OFF","ONE Venus® Swirl™ OR Venus® & Olay® Razor (excludes disposables)",2017-04-26 14:14:10
"Gerber®","SAVE 1.00","off any THREE (3) Gerber® Graduates® Puffs, Lil' Crunchies®, or Yogurt Melts™ items",2017-04-26 14:14:10
"Bisquick & Eggland’s Best","SAVE $1.00","when you buy ONE PACKAGE any variety 10.6 OZ. OR LARGER Bisquick™ Pancake & Baking Mix AND ONE PACKAGE any...",2017-04-26 14:14:10
"Scrubbing Bubbles®","SAVE $3.00","on any ONE (1) Scrubbing Bubbles® Fresh Brush® Starter Kit and Caddy or any THREE (3) Fresh Brush® Refills",2017-04-26 14:14:10
"Gerber®","SAVE 1.00","When you buy any FOUR (4) Gerber® 1st Foods, 2nd Foods, or 3rd Foods",2017-04-26 14:14:10
"Cat Chow®","SAVE $2.05","on one (1) 13lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety",2017-04-26 14:14:10
"Beneful®","SAVE $3.00","on one (1) bag of Purina® Beneful® Grain Free Dry Dog Food",2017-04-26 14:14:10
"CLASSICO","SAVE 50¢","on any ONE (1) CLASSICO™ Grated Parmesan Cheese",2017-04-26 14:14:10
"OLAY BODY®","50¢ OFF","ONE Olay® Body Wash OR Bar Soap 4 ct or larger (excludes trial/travel size)",2017-04-26 14:14:11
"Newman's Own® Organics","SAVE $1.00","on any ONE Newman's Own® Organics Salad Dressing",2017-04-26 14:14:11
"Phillips'®","SAVE $4.00","on any ONE (1) Phillips® Colon Health® product (24ct or larger)",2017-04-26 14:14:11
"RESOLVE®","$0.75 OFF","ONE (1) Resolve Trigger or Foam",2017-04-26 14:14:11
"Windex®","SAVE $2.00","on any ONE (1) Windex® Outdoor Glass, Patio, and More! Product (excludes travel and trial sizes)",2017-04-26 14:14:11
"Schick Hydro Silk® Razor","SAVE $3.00","on any ONE (1) Schick Hydro Silk® Razor or TrimStyle (excludes Schick® Disposables and Men’s Razor)",2017-04-26 14:14:11
"L'Oreal Paris","SAVE $1.00","on ANY ONE (1) L'Oreal Paris Hair Expert product or Advanced Hairstyle product (excludes 3 oz. trial size)",2017-04-26 14:14:11
"Clorox Scentiva™","SAVE $0.75","On any ONE (1) Clorox Scentiva™ Wipe or Spray Item (Redeemable at Walmart)",2017-04-26 14:14:11
"VENUS®","$3.00 OFF","ONE Daisy® Disposable Razor Pack 4ct or larger",2017-04-26 14:14:12
"Allegra® Allergy","SAVE $5.00","on any ONE (1) Allegra® Allergy 24Hr 24ct or larger",2017-04-26 14:14:12
"Glade®","SAVE $1.50","on any ONE (1) Glade® Atmosphere Collection",2017-04-26 14:14:12
"HORMEL® Brand","SAVE $1.00","on the purchase of any two (2) HORMEL® MARY KITCHEN® Hash products",2017-04-26 14:14:12
"Schwarzkopf","$2.00 OFF","When You Buy One (1) Schwarzkopf® Gliss™ Hair Care Product",2017-04-26 14:14:12
"BUITONI®","SAVE $2.00","When you buy TWO (2) BUITONI® Refrigerated Pasta AND Sauce, any variety",2017-04-26 14:14:12
"TIDE®","$1.50 OFF","ONE Tide® Rescue (excludes trial/travel size)",2017-04-26 14:14:12
"GILLETTE®","$3.00 OFF","ONE Gillette® System Razor (excludes trial/travel size)",2017-04-26 14:14:13
"GILLETTE®","50¢ OFF","ONE Gillette® Shave Gel (excludes trial/travel size)",2017-04-26 14:14:13
"SHEBA® PERFECT PORTIONS™","SAVE $1.00","on any THREE (3) SHEBA® PERFECT PORTIONS™ Premium Cat Food",2017-04-26 14:14:13
"Allegra® Allergy","SAVE $3.00","on any ONE (1) Allegra Allergy 5ct, 8ct or 15ct",2017-04-26 14:14:13
"BOUNTY®","25¢ OFF","ONE Bounty® Napkins (excludes trial/travel size)",2017-04-26 14:14:13
