brand,cashback,offer,details,url,source,date_time
"thebodyshop","4.0%","+ 4.0% Cash Back","Buy 3 Get 3 Free on select Items.","thebodyshop.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"shopbop","2.0%","+ 2.0% Cash Back","Surprise Sale! Up to 40% off select styles!","shopbop.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"loft","2.0%","+ 2.0% Cash Back","Extra 40% Off All Sale Styles from 5/1 12a EST - 5/3 11:59p EST.","loft.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"dockers","2.5%","+ 2.5% Cash Back","$50 off $150+ order.","dockers.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"livingsocial","3.0%","+ 3.0% Cash Back","20% Off Sitewide.","livingsocial.htm","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"canon","2.5%","+ Up to 2.5% Cash Back","Save on Mother's Day SL1 Camera Bundles!","canon.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"lanebryant","2.5%","+ 2.5% Cash Back","$50 off $100.","lanebryant.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"gnc","5.0%","+ 5.0% Cash Back","30% off 3, 20% off 2.","gnc.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"officedepot","4.0%","+ 4.0% Cash Back","(Wed) FURNITURE FLASH SALE! Save OVER 50% on Select Furniture and Seating - PLUS Free Delivery!","officedepot.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"lowes","3.0%","+ 3.0% Cash Back","Hitachi Days: Up to 30% off select In-Stock Hitachi Tools and Fasteners.","lowes.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"newbalance","5.0%","+ 5.0% Cash Back","$10 off $75+ order.","newbalance.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"jcpenney","8.0%","+ 8.0% Cash Back","Mother's Day Sale - Extra 20% off with JCP credit card or Extra 15% off with any other method of payment. Extra 25% off $100 with JCP credit card or extra 20% off $100 with any other method of payment.","jcpenney.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"toryburch","2.5%","+ 2.5% Cash Back","Shop Sale items at ToryBurch.com for up to 30% handbags, shoes, accessories, and more!","toryburch.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"bloomingdales","3.0%","+ 3.0% Cash Back","Save 30-40% on a great selection of Men's designer clothing and accessories! PLUS, save an extra 50% on almost all permanently reduced Men's merchandise for a total savings of 60-70%.","bloomingdales.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"carters","5.0%","+ 5.0% Cash Back","Biggest Baby Sale of the Year: Up to 70% off + free shipping at $50.","carters.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"thechildrensplace","1.5%","+ 1.5% Cash Back","50% off Matchables and Free shipping.","thechildrensplace.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"saksfifthavenueoff5th","4.0%","+ 4.0% Cash Back","Online only! Take an extra 20% off.","saksfifthavenueoff5th.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"katespade","3.5%","+ 3.5% Cash Back","Mother's day gift guide! gifts under $50 including tech accessories, home decor and more at katespade.com!","katespade.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"shutterfly","4.0%","+ 4.0% Cash Back","40% off Graduation Stationery!","shutterfly.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"restaurant","20.0%","+ Up to 20.0% Cash Back","5/3: $6 for $25 Certificates","restaurant.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"orbitz","9.0%","+ Up to 9.0% Cash Back","Get An Extra 15% off select Hotels.","orbitz.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"tommyhilfiger","2.5%","+ 2.5% Cash Back","Friends and Family 30% off at Tommy.com","tommyhilfiger.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"jcrew","5.0%","+ 5.0% Cash Back","Extra 30% off Sale Styles.","jcrew.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"bobbibrowncosmetics","8.0%","+ 8.0% Cash Back","40% Off Flash Event! 40% off Select items. Prices are as marked.","bobbibrowncosmetics.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"jcrewfactory","1.5%","+ 1.5% Cash Back","Up to 60% off plus Women's Tops Under $35, Men's Shirts Under $30 and Kid's Non-Boring Basics Under $25.","jcrewfactory.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"perfumania","14.0%","+ 14.0% Cash Back","30% off and Free shipping on any order.","perfumania.com","https://www.ebates.com/deals.htm",2017-05-03 17:00:26
"johnhardy","9.0%","9.0% Cash Back","Get a great deal from See all John Hardy plus  9.0% Cash Back  from Ebates!","johnhardy.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"bobbibrowncosmetics","8.0%","8.0% Cash Back","Get a great deal from Bobbi Brown Cosmetics plus  8.0% Cash Back  from Ebates!","bobbibrowncosmetics.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"kiehls","8.0%","8.0% Cash Back","Get a great deal from See all Kiehl's plus  8.0% Cash Back  from Ebates!","kiehls.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"lancome","8.0%","8.0% Cash Back","Get a great deal from See all Lancome plus  8.0% Cash Back  from Ebates!","lancome.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"sachinandbabi","8.0%","8.0% Cash Back","Get a great deal from See all Sachin & Babi plus  8.0% Cash Back  from Ebates!","sachinandbabi.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"petit-bateau","7.0%","7.0% Cash Back","Get a great deal from See all Petit Bateau plus  7.0% Cash Back  from Ebates!","petit-bateau.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"agjeans","6.0%","6.0% Cash Back","Get a great deal from See all AG Jeans plus  6.0% Cash Back  from Ebates!","agjeans.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"aliceolivia","6.0%","6.0% Cash Back","Get a great deal from See all Alice + Olivia plus  6.0% Cash Back  from Ebates!","aliceolivia.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"coach","6.0%","6.0% Cash Back","Get a great deal from See all Coach plus  6.0% Cash Back  from Ebates!","coach.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"esteelauder","6.0%","6.0% Cash Back","Get a great deal from See all Estée Lauder plus  6.0% Cash Back  from Ebates!","esteelauder.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"forzieri","6.0%","6.0% Cash Back","Get a great deal from See all Forzieri plus  6.0% Cash Back  from Ebates!","forzieri.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"nicolemiller","6.0%","6.0% Cash Back","Get a great deal from See all Nicole Miller plus  6.0% Cash Back  from Ebates!","nicolemiller.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:43
"algenist","5.0%","5.0% Cash Back","Get a great deal from See all Algenist plus  5.0% Cash Back  from Ebates!","algenist.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"clarins","5.0%","5.0% Cash Back","Get a great deal from See all Clarins plus  5.0% Cash Back  from Ebates!","clarins.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"lecreuset","5.0%","5.0% Cash Back","Get a great deal from See all Le Creuset plus  5.0% Cash Back  from Ebates!","lecreuset.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"millyny","5.0%","5.0% Cash Back","Get a great deal from See all MILLY plus  5.0% Cash Back  from Ebates!","millyny.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"net-a-porter","5.0%","5.0% Cash Back","Get a great deal from See all NET-A-PORTER plus  5.0% Cash Back  from Ebates!","net-a-porter.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"perriconemd","5.0%","5.0% Cash Back","Get a great deal from See all Perricone MD plus  5.0% Cash Back  from Ebates!","perriconemd.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
