brand,cashback,offer,details,url,source,date_time
"CREST®","50¢","50¢ OFF","ONE Crest® Pro-Health™ Toothpaste 3.5oz+ (excludes Cavity Protection, Tartar Protection, Baking Soda and trial/ travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"Cetaphil®","$3.00","$3.00 OFF","any 1 (one) New Cetaphil® Facial Care product (excludes makeup remover wipes)","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"Windex®","75¢","SAVE 75¢","on any ONE (1) Windex® Multi-Surface Product (excludes travel and trial sizes)","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"SPLENDA®","$1.00","SAVE $1.00","on ONE (1) SPLENDA® Sweetener Product, any variety or size.","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"BOUNTY®","25¢","25¢ OFF","ONE Bounty® Basic Paper Towels (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"BENADRYL®","$1.00","SAVE $1.00","on any ONE (1) Adult BENADRYL® product","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"DINTY MOORE® Brand","$1.00","SAVE $1.00","on the purchase of any two (2) DINTY MOORE® products (excludes Trays)","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"Annie Chun's","$1.00","$1.00 OFF","TWO (2) Annie Chun's Products","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"Cat Chow®","$1.05","SAVE $1.05","on one (1) 3.15lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"OFF!®","75¢","SAVE 75¢","on any ONE (1) OFF!® Product (excludes travel and trial sizes)","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"CHARMIN®","25¢","25¢ OFF","ONE Charmin® Essentials Soft OR Essentials Strong 4 ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"Blue Bunny®","$1.00","SAVE $1.00","on any one (1) package Blue Bunny® Bunny Snacks™ (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"Clorox® Bleach","$0.50","SAVE $0.50","on the purchase of ONE (1) Clorox® Bleach (Redeemable at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"Adult ZYRTEC®","$4.00","SAVE $4.00","on any ONE (1) Adult ZYRTEC® product (24-30ct)","","https://www.coupons.com/coupons/",2017-05-05 14:52:58
"Purina ONE®","$1.50","SAVE $1.50","on one (1) bag of Purina ONE® SmartBlend® dry dog food, any size, any variety","","https://www.coupons.com/coupons/",2017-05-05 14:52:58
"Yoplait","50¢","SAVE 50¢ ON ONE","when you buy ONE CUP any variety Yoplait® Dippers","","https://www.coupons.com/coupons/",2017-05-05 14:52:58
"Angel Soft®","$0.75","SAVE $0.75","off any ONE (1) package of Angel Soft® Bath Tissue, 12 Mega Roll, 24 Double Roll or larger (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:52:58
"PAMPERS®","$1.00","$1.00 OFF","ONE Pampers® Swaddlers Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:58
"PULL-UPS®","$2.00","GET $2.00 OFF","any ONE (1) PULL-UPS® Training Pants or GOODNITES® Bedtime Pants or Bed Mats (Not valid on 7 ct. or less)","","https://www.coupons.com/coupons/",2017-05-05 14:52:59
"Yoplait","25¢","SAVE 25¢ ON ONE","when you buy ONE CUP any variety Yoplait® Custard Yogurt","","https://www.coupons.com/coupons/",2017-05-05 14:52:59
"Nakano® Vinegar","$0.75","SAVE $0.75","On Any One (1) Bottle of Nakano® Rice Vinegar","","https://www.coupons.com/coupons/",2017-05-05 14:52:59
"Quilted Northern Ultra Soft & Strong®","$1.50","SAVE $1.50","off any ONE (1) package of Quilted Northern Ultra Soft & Strong®, 9 Mega Roll or 18 Mega Roll (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:52:59
"Tyson®","$1.00","SAVE $1.00","on any ONE (1) Premium Selects Chicken (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:52:59
"Scrubbing Bubbles®","50¢","SAVE 50¢","on any ONE (1) Scrubbing Bubbles® All Purpose Cleaner with fantastik® product","","https://www.coupons.com/coupons/",2017-05-05 14:52:59
"Scrubbing Bubbles®","$3.00","SAVE $3.00","on any ONE (1) Scrubbing Bubbles® Fresh Brush® Starter Kit and Caddy or any THREE (3) Fresh Brush® Refills","","https://www.coupons.com/coupons/",2017-05-05 14:52:59
"ORAL-B®","50¢","50¢ OFF","ONE Oral-B® Adult Indicator OR Cavity Defense Toothbrush (excludes Healthy Clean and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:59
"CLASSICO","50¢","SAVE 50¢","on any ONE (1) CLASSICO™ Grated Parmesan Cheese","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"PAMPERS®","$1.00","$1.00 OFF","ONE Pampers® Baby Dry Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"Scrubbing Bubbles®","50¢","SAVE 50¢","on any ONE (1) Scrubbing Bubbles® or Scrubbing Bubbles® All Purpose Cleaner with fantastik® products","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"M&Ms® Bottles","$0.50","SAVE $0.50","on ONE (1) M&Ms® Bottle","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"CREST®","75¢","75¢ OFF","ONE Crest® Pro-Health™ Mouthwash 237ml or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"ALWAYS®","75¢","75¢ OFF","ONE Always® Liners 30 ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
