brand,cashback_today,cashback_historical,diff,offer,details,url,source
"PetArmor Plus for Dogs or Cats","$2.00","$2.00","0.0%","SAVE $2.00","when you buy any one (1) PetArmor® Plus for Dogs or Cats, 3 count or 6 count size","","https://www.coupons.com/coupons/"
"Pure Leaf","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) Pure Leaf hot or iced bagged and loose teas","","https://www.coupons.com/coupons/"
"COVERGIRL®","$0.50","$0.50","0.0%","$0.50 OFF","ONE COVERGIRL Total Tease Mascara (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"HUGGIES®","$1.50","$1.50","0.0%","GET $1.50 OFF","any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger)","","https://www.coupons.com/coupons/"
"VENUS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Venus® Swirl™ OR Venus® & Olay® Razor (excludes disposables)","","https://www.coupons.com/coupons/"
"KIWI®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) KIWI® Cleaners Product","","https://www.coupons.com/coupons/"
"PAMPERS®","$1.50","$1.50","0.0%","$1.50 OFF","ONE Pampers® Splashers Swim Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"VICKS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Vicks® VapoRub™ Product 1.76oz (50g) or 3.53oz (100g) (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Fresh Step®","$1.50","$1.50","0.0%","SAVE $1.50","on any ONE (1) Unscented Fresh Step® Clumping Litter, 15.4+ lbs","","https://www.coupons.com/coupons/"
"Giovanni 2chic","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) Giovanni 2chic Hair Care Product (excluding 1.5oz & 2oz Travel & 24oz Value Size Items)","","https://www.coupons.com/coupons/"
"Gerber®","$1.00","$1.00","0.0%","SAVE $1.00","off any THREE (3) Gerber® Graduates® Meals or Sides items","","https://www.coupons.com/coupons/"
"Children's RHINOCORT®","$6.00","$6.00","0.0%","SAVE $6.00","on any ONE (1) Children’s RHINOCORT® 60 spray","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$1.00","$1.00","0.0%","SAVE $1.00","on ANY ONE (1) L'Oreal Paris Hair Expert product or Advanced Hairstyle product (excludes 3 oz. trial size)","","https://www.coupons.com/coupons/"
"Schick® Quattro for Women® Refill","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) Schick® Quattro for Women® Refill (excludes Schick® Men's Refill)","","https://www.coupons.com/coupons/"
"TUMS®","$1.50","$1.50","0.0%","SAVE $1.50","on any ONE (1) TUMS® Chewy Bites Product, 32 ct or larger","","https://www.coupons.com/coupons/"
"WOOLITE®","$1.00","$1.00","0.0%","$1.00 OFF","any ONE (1) WOOLITE® Detergent (50oz. or larger)","","https://www.coupons.com/coupons/"
"Soy Vay®","$0.75","$0.75","0.0%","SAVE $0.75","on any one (1) Soy Vay® Marinade","","https://www.coupons.com/coupons/"
"VENUS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Daisy® Disposable Razor Pack 4ct or larger","","https://www.coupons.com/coupons/"
"Schick Hydro Silk® Razor","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) Schick Hydro Silk® Razor or TrimStyle (excludes Schick® Disposables and Men’s Razor)","","https://www.coupons.com/coupons/"
"GILLETTE®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Gillette® Mach 3® OR Fusion® Disposable Razor (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Newman’s Own®","$1.00","$1.00","0.0%","SAVE $1.00","On any ONE Newman’s Own® Salad Dressing","","https://www.coupons.com/coupons/"
"Meow Mix®","$0.55","$0.55","0.0%","SAVE $0.55","on any one (1) Meow Mix Irresistibles® Cat Treats (2.5oz or larger)","","https://www.coupons.com/coupons/"
"Purina ONE®","$0.75","$0.75","0.0%","SAVE $0.75","on four (4) 13 oz. cans of Purina ONE® SmartBlend® wet dog food, any variety","","https://www.coupons.com/coupons/"
"CLEAR CARE® Solution","$2.00","$2.00","0.0%","SAVE $2.00","On Any ONE (1) CLEAR CARE® Solution (12oz or Larger)","","https://www.coupons.com/coupons/"
"FIXODENT®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Fixodent® Adhesive 2oz or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Sun® Clean & Fresh","$1.50","$1.50","0.0%","SAVE $1.50","on any ONE (1) Sun® Clean & Fresh Laundry Detergent (250oz Liquid) (Available at Walmart)","","https://www.coupons.com/coupons/"
"Kay Jewelers","30%","30%","0.0%","30% OFF EVERYTHING","","","https://www.coupons.com/coupons/"
"PAMPERS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Pampers® Easy Ups Training Pants (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Purina® Pro Plan®","$5.00","$5.00","0.0%","SAVE $5.00","on one (1) bag of Purina® Pro Plan® brand dry Cat Food, any size, any variety. Available only at Pet Specialty Retailers","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$2.00","$2.00","0.0%","SAVE $2.00","on ANY ONE (1) L'Oreal Paris Superior Preference or Excellence hair color product","","https://www.coupons.com/coupons/"
"Allegra® Allergy","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) Allegra Allergy 5ct, 8ct or 15ct","","https://www.coupons.com/coupons/"
"LYSOL®","$0.75","$0.75","0.0%","$0.75 OFF","any ONE (1) Lysol® Automatic Toilet Bowl Cleaner (Available at Walmart)","","https://www.coupons.com/coupons/"
"Schwarzkopf","$2.00","$2.00","0.0%","$2.00 OFF","When You Buy One (1) Schwarzkopf® Gliss™ Hair Care Product","","https://www.coupons.com/coupons/"
"Caribou Coffee® K-Cup® Pods","$2.00","$2.00","0.0%","BUY 2 SAVE $2.00","On any (2) Caribou Coffee® K-Cup® Pods (12 count, 18 count, 36 count)","","https://www.coupons.com/coupons/"
"Earth Balance","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) Earth Balance® Product (Available at Walmart)","","https://www.coupons.com/coupons/"
"Agave In The Raw®","$.75","$.75","0.0%","SAVE $.75","on one (1) Agave In The Raw® 18.5oz Bottle","","https://www.coupons.com/coupons/"
"Starbucks VIA®","$1.00","$1.00","0.0%","SAVE $1.00","off any ONE (1) Starbucks VIA® Instant Refreshers™ beverage (5ct. or larger)","","https://www.coupons.com/coupons/"
"Schick Hydro Silk® TrimStyle® Razor","$4.00","$4.00","0.0%","SAVE $4.00","on any ONE (1) Schick Hydro Silk® TrimStyle® Razor(excludes Schick® Disposables and Men’s Razor)","","https://www.coupons.com/coupons/"
"MUSCLE MILK®","$2.00","$2.00","0.0%","SAVE $2.00","on any TWO (2) MUSCLE MILK® PROTEIN BARS, 1.76oz or 2.25oz","","https://www.coupons.com/coupons/"
"FLONASE®","$4.00","$4.00","0.0%","SAVE $4.00","on any FLONASE® 120ct spray or larger","","https://www.coupons.com/coupons/"
"Van's Simply Delicious®","$1.50","$1.50","0.0%","$1.50 OFF","any ONE (1) Van's Simply Delicious® Shelf Stable Product (Available at Walmart)","","https://www.coupons.com/coupons/"
"Newman's Own® Organics","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE Newman's Own® Organics Salad Dressing","","https://www.coupons.com/coupons/"
"GILLETTE®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Gillette® Sensor 2, Sensor 3, or Custom Plus 3 Disposable Razor 4ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"KIWI®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) KIWI® Express Shine™ Product (Sponge and Wipes)","","https://www.coupons.com/coupons/"
"CREST®","$2.00","$2.00","0.0%","$2.00 OFF","ONE Crest® 3DWhite™ Glamorous White, 1 Hour Express, Professional Effects OR Supreme Flexfit Whitestrips™ (excludes trial/travel","","https://www.coupons.com/coupons/"
"Murphy Oil Soap®","$0.75","$0.75","0.0%","SAVE $0.75","On any Murphy® Oil Soap Wood Cleaner (22 oz or larger)","","https://www.coupons.com/coupons/"
"POISE®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) package of POISE® IMPRESSA® Bladder Supports Sizing Kit or Size 1, 2, or 3 (6 ct. or larger)","","https://www.coupons.com/coupons/"
"Starbucks VIA®","$1.00","$1.00","0.0%","SAVE $1.00","off any ONE (1) Starbucks VIA® Instant Black Coffee (5ct. or larger)","","https://www.coupons.com/coupons/"
"Claritin®","$4.00","$4.00","0.0%","SAVE $4.00","on any Non Drowsy Claritin® Allergy Product (30ct or larger)","","https://www.coupons.com/coupons/"
"GILLETTE®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Gillette® Fusion® ProShield™ OR ProGlide™ System Razor (excludes disposables)","","https://www.coupons.com/coupons/"
"Zantac®","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) Zantac® 24ct+ or DUO Fusion™ 20ct+ product (Available at Walmart)","","https://www.coupons.com/coupons/"
"Seeds of Change®","$1.50","$1.50","0.0%","SAVE $1.50","on any TWO (2) Seeds of Change® Certified Organic Food Products","","https://www.coupons.com/coupons/"
"MUSCLE MILK®","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) MUSCLE MILK® GENUINE Protein Powder, 1.93lbs","","https://www.coupons.com/coupons/"
"Amopé GelActiv™","$5.00","$5.00","0.0%","$5.00 OFF","any ONE (1) Amopé GelActiv™ Insole","","https://www.coupons.com/coupons/"
"FLONASE®","$2.00","$2.00","0.0%","SAVE $2.00","on 60 Spray FLONASE® or Children’s FLONASE® or larger","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$2.00","$2.00","0.0%","SAVE $2.00","on ANY ONE (1) L’Oreal Paris EVER shampoo or conditioner product","","https://www.coupons.com/coupons/"
"Sun®","$1.50","$1.50","0.0%","CLICK TO SAVE","Save $1.50 on Sun® Clean & Fresh laundry detergent. Cleans. Fights Stains. Freshens. Available at Walmart.","","https://www.coupons.com/coupons/"
"VICKS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Vicks® NyQuil™ Product (excludes VapoDrops®, QlearQuil™, ZzzQuil™ and trial/travel size)","","https://www.coupons.com/coupons/"
"Claritin®","$2.00","$2.00","0.0%","SAVE $2.00","on Non Drowsy Claritin® Reditabs® (10ct)","","https://www.coupons.com/coupons/"
"alli","$5.00","$5.00","0.0%","$5.00 OFF","on ONE (1) alli® 120ct Refill Pack","","https://www.coupons.com/coupons/"
"VICKS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE ZzzQuil™ Product (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"PRILOSEC OTC®","$2.00","$2.00","0.0%","$2.00 OFF","ONE Prilosec OTC® Product (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Claritin®","$4.00","$4.00","0.0%","SAVE $4.00","on any Non Drowsy Children's Claritin® Chewables Allergy Product (20ct or larger)","","https://www.coupons.com/coupons/"
"VICKS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Vicks® DayQuil™ Product (excludes VapoDrops®, QlearQuil™, ZzzQuil™ and trial/travel size)","","https://www.coupons.com/coupons/"
"DEPEND®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) package of DEPEND® Underwear (8 ct. or larger)","","https://www.coupons.com/coupons/"
"Claritin® Liqui-Gels®","$4.00","$4.00","0.0%","SAVE $4.00","on Non-Drowsy Claritin® Liqui-Gels® (30ct or larger)","","https://www.coupons.com/coupons/"
"METAMUCIL®","$2.00","$2.00","0.0%","$2.00 OFF","ONE Meta Product (excludes Meta Health Bar 1ct size)","","https://www.coupons.com/coupons/"
"MUSCLE MILK®","$2.00","$2.00","0.0%","SAVE $2.00","on any TWO (2) MUSCLE MILK® 4-PACK PROTEIN SHAKES, 11OZ","","https://www.coupons.com/coupons/"
"GILLETTE®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Gillette® Mach 3® System Razor (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Starbucks VIA®","$2.25","$2.25","0.0%","SAVE $2.25","off any TWO (2) Starbucks VIA® Instant Coffees (4 ct. or higher)","","https://www.coupons.com/coupons/"
"Muse® Cat Food","$4.00","$4.00","0.0%","SAVE $4.00","on one (1) bag of Muse® Natural Dry Cat Food, 4 lb or larger, any variety. Redeemable only at Pet Specialty Stores.","","https://www.coupons.com/coupons/"
"Valvoline™","$8.00","$8.00","0.0%","SAVE $8.00","on TWO five quart jugs of Valvoline™ MaxLife™ or SynPower Motor Oil (Available at Walmart)","","https://www.coupons.com/coupons/"
"Claritin®","$3.00","$3.00","0.0%","SAVE $3.00","on any Non Drowsy Children's Claritin® Syrup (4oz or larger)","","https://www.coupons.com/coupons/"
"PediaSure®","$2.00","$2.00","0.0%","SAVE $2.00","on any TWO (2) PediaSure® products","","https://www.coupons.com/coupons/"
"PEPTO-BISMOL™","$1.00","$1.00","0.0%","$1.00 OFF","TWO Pepto-Bismol™ Products (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"McCafé®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) McCafé® Coffee Canister (Redeemable at Walmart)","","https://www.coupons.com/coupons/"
"VICKS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Vicks® VapoInhaler (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$3.00","$3.00","0.0%","SAVE $3.00","on ANY ONE (1) L'Oreal Paris Infallible Pro-Last 2-Step Lip product","","https://www.coupons.com/coupons/"
"FLONASE® Sensimist™","$3.00","$3.00","0.0%","SAVE $3.00","on any FLONASE® Sensimist™ 60ct or larger","","https://www.coupons.com/coupons/"
"Claritin-D®","$4.00","$4.00","0.0%","SAVE $4.00","on any Non-Drowsy Claritin-D® Allergy Product (15ct or larger)","","https://www.coupons.com/coupons/"
"Starbucks VIA®","$1.00","$1.00","0.0%","SAVE $1.00","off any ONE (1) Starbucks VIA® Instant Latte (4ct. or larger)","","https://www.coupons.com/coupons/"
"Dulcolax®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) Dulcolax® or DulcoEase® product 25ct+ (Redeemable at Walmart)","","https://www.coupons.com/coupons/"
"ARM & HAMMER™","$1.00","$1.00","0.0%","SAVE $1.00","on ONE (1) ARM & HAMMER™ In-Wash Freshness Booster","","https://www.coupons.com/coupons/"
"Rachael Ray™ Nutrish®","$4.00","$4.00","0.0%","SAVE $4.00","on any ONE (1) 4 lb. bag or larger of Rachael Ray™ Nutrish® PEAK Dry Dog Food (Available at Walmart)","","https://www.coupons.com/coupons/"
"CREST®","$2.00","$2.00","0.0%","$2.00 OFF","ONE Crest® Pro-Health™ [HD] OR 3DWhite™ Brilliance 2-Step System (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$2.00","$2.00","0.0%","SAVE $2.00","on ANY ONE (1) L'Oreal Paris Cosmetic Face product (excluding Magic Perfecting Base 0.17 FL oz. mini size)","","https://www.coupons.com/coupons/"
"PediaSure®","$3.00","$3.00","0.0%","SAVE $3.00","on any THREE (3) PediaSure® products","","https://www.coupons.com/coupons/"
"EVOL®","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) EVOL® Single Serve Meal (Available at Walmart)","","https://www.coupons.com/coupons/"
"Betsy Farms®","$1.00","$1.00","0.0%","SAVE $1.00","on ONE (1) Betsy Farms Product","","https://www.coupons.com/coupons/"
"Pet Naturals of Vermont","$2.00","$2.00","0.0%","$2.00 OFF","On any ONE (1) Pet Naturals Supplement","","https://www.coupons.com/coupons/"
"FLONASE® Sensimist™","$5.00","$5.00","0.0%","SAVE $5.00","on 120 Spray FLONASE® Sensimist™","","https://www.coupons.com/coupons/"
"Starbucks VIA®","$1.00","$1.00","0.0%","SAVE $1.00","off any ONE (1) Starbucks VIA® Instant Iced Coffee (5ct. or larger)","","https://www.coupons.com/coupons/"
"La Bella®","$1.50","$1.50","0.0%","$1.50 OFF","ONE (1) full-size La Bella® product","","https://www.coupons.com/coupons/"
"ClariSpray®","$5.00","$5.00","0.0%","SAVE $5.00","on any ClariSpray® Nasal Allergy Spray","","https://www.coupons.com/coupons/"
"Allegra® Allergy","$5.00","$5.00","0.0%","SAVE $5.00","on any ONE (1) Allegra® Allergy 24Hr 24ct or larger","","https://www.coupons.com/coupons/"
"Playtex® Sport® Compact Tampons","$1.00","$1.00","0.0%","SAVE $1.00","on any ONE (1) Playtex® Sport® Compact Tampons (Available at Walmart)","","https://www.coupons.com/coupons/"
"Albolene","$5.00","$5.00","0.0%","SAVE $5.00","on one (1) bottle of Albolene Eye Makeup Remover (Redeemable at Walgreens)","","https://www.coupons.com/coupons/"
"Muse® Cat Food","$1.69","$1.69","0.0%","BUY 3, GET 1 FREE","Buy (3) 2.1 oz. tubs or 3 oz cans of Muse® Wet Cat Food, get (1) FREE (up to $1.69). Redeemable only at Pet Specialty Stores.","","https://www.coupons.com/coupons/"
"Children's Allegra® Allergy","$4.00","$4.00","0.0%","SAVE $4.00","on any ONE (1) Children's Allegra Allergy product","","https://www.coupons.com/coupons/"
"DEPEND®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) package of DEPEND® Real Fit® or Silhouette® Product (8 ct. or larger)","","https://www.coupons.com/coupons/"
"Buddy Fruits®","$0.50","$0.50","0.0%","SAVE $0.50","Buy Any 4 Buddy Fruits® 3.2 oz. Pouches, Save $0.50 on Bananas","","https://www.coupons.com/coupons/"
"Enfamil","$5.00","$5.00","0.0%","SAVE $5.00","On Purchase of Any TWO (2) Enfamil Infant Formula Tubs (20.4 oz. - 22.5 oz.) (Available at Walmart)","","https://www.coupons.com/coupons/"
"Holland House® Cooking Wine","$0.75","$0.75","0.0%","SAVE $0.75","On Any One (1) Bottle of Holland House® Cooking Wine","","https://www.coupons.com/coupons/"
"METAMUCIL®","$2.00","$2.00","0.0%","$2.00 OFF","ONE Meta Appetite Control Product (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"VICKS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Vicks® Sinex™ Nasal Spray Product (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"HORMEL™ NATURAL CHOICE™ Brand","$1.00","$1.00","0.0%","SAVE $1.00","on the purchase of any one (1) HORMEL™ NATURAL CHOICE™ Snack","","https://www.coupons.com/coupons/"
"ProNourish™ Drink","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) multipack of ProNourish™ Drink","","https://www.coupons.com/coupons/"
"DEPEND®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) package of DEPEND® NIGHT DEFENSE* Underwear for Women (10 ct. or larger)","","https://www.coupons.com/coupons/"
"VICKS®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Vicks® Sinex™ LiquiCaps Product (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Annie Chun's","$1.00","$1.00","0.0%","$1.00 OFF","TWO (2) Annie Chun's Products","","https://www.coupons.com/coupons/"
"Nakano® Vinegar","$0.75","$0.75","0.0%","SAVE $0.75","On Any One (1) Bottle of Nakano® Rice Vinegar","","https://www.coupons.com/coupons/"
"EVOL®","$2.00","$2.00","0.0%","SAVE $2.00","on Any ONE (1) EVOL® Multi Serve Meal (Available at Walmart)","","https://www.coupons.com/coupons/"
"Little Remedies®","$4.00","$4.00","0.0%","SAVE $4.00","on any one (1) Little Remedies® New Baby Essentials Kit (Available at Walmart)","","https://www.coupons.com/coupons/"
"CLEARBLUE®","$1.00","$1.00","0.0%","$1.00 OFF","ONE Clearblue® Digital Pregnancy Test with Smart Countdown","","https://www.coupons.com/coupons/"
"Differin®","$3.00","$3.00","0.0%","$3.00 OFF","any Differin® Gel product (15g or 45g)","","https://www.coupons.com/coupons/"
"HORMEL® Brand","$1.00","$1.00","0.0%","SAVE $1.00","on the purchase of any one (1) HORMEL® Taco Meats product","","https://www.coupons.com/coupons/"
"DEPEND®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) package of DEPEND® Shields or Guards for Men (8 ct. or larger)","","https://www.coupons.com/coupons/"
"Go & Grow by Similac®","$4.00","$4.00","0.0%","$4.00 OFF","any (1) Go & Grow by Similac® Toddler Drink (24oz or larger)","","https://www.coupons.com/coupons/"
"revv® Coffee K-Cup® Pods","$1.50","$1.50","0.0%","SAVE $1.50","On any (1) revv® Coffee K-Cup® Pod (16 count)","","https://www.coupons.com/coupons/"
"V&V Supremo®","$2.00","$2.00","0.0%","SAVE $2.00","on ONE (1) V&V Supremo® Shredded Chihuahua® Quesadilla Cheese (2 lb.)","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$2.00","$2.00","0.0%","SAVE $2.00","on ANY ONE (1) L'Oreal Paris EVER hair care treatment product","","https://www.coupons.com/coupons/"
"DEPEND®","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) package of DEPEND® Bed Protectors (8 ct. or larger)","","https://www.coupons.com/coupons/"
"Florastor","$4.00","$4.00","0.0%","SAVE $4.00","one Florastor 20, 30 count, FlorastorMax, or FlorastorKids 20, 30 count","","https://www.coupons.com/coupons/"
"ALIGN®","$3.00","$3.00","0.0%","$3.00 OFF","ONE Align® Product 28ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"AquaBall™","$0.40","$0.40","0.0%","SAVE $0.40","when you buy any SINGLE (1) bottle of AquaBall™ Naturally Flavored Water Drink (10 oz)","","https://www.coupons.com/coupons/"
"Schwarzkopf","$3.00","$3.00","0.0%","$3.00 OFF","When You Buy One (1) Schwarzkopf® Color Ultime® or Keratin Color Hair Color Product","","https://www.coupons.com/coupons/"
"SPAM® Products","$1.00","$1.00","0.0%","SAVE $1.00","on the purchase of any two (2) SPAM® 12 oz. products","","https://www.coupons.com/coupons/"
"AquaBall™","$1.50","$1.50","0.0%","SAVE $1.50","on any ONE (1) 6-pack of AquaBall™ Naturally Flavored Water drink","","https://www.coupons.com/coupons/"
"FoodSaver® Bags","$3.00","$3.00","0.0%","$3.00 OFF","On any one (1) FoodSaver® Vacuum Seal Bag or Roll with a retail value of $8.00 or more","","https://www.coupons.com/coupons/"
"ALIGN®","$3.00","$3.00","0.0%","$3.00 OFF","ONE Align® Adult Chewables Product (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"ALIGN®","$1.50","$1.50","0.0%","$1.50 OFF","ONE Align® Product 14ct (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"Balmex® Complete Protection","$2.00","$2.00","0.0%","$2.00 OFF","on ONE (1) Balmex® Complete Protection Diaper Rash Cream Product 16oz, 4oz or 3.5oz","","https://www.coupons.com/coupons/"
"STOPAIN®","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) Stopain® Product","","https://www.coupons.com/coupons/"
"ALIGN®","$3.00","$3.00","0.0%","$3.00 OFF","ONE Align Jr. Product (excludes trial/travel size)","","https://www.coupons.com/coupons/"
"JointFlex","$3.00","$3.00","0.0%","$3.00 OFF","On One 4.0 oz. tube of JointFlex Pain Relieving Cream","","https://www.coupons.com/coupons/"
"L'Oreal Paris","$1.00","$1.00","0.0%","SAVE $1.00","on ANY ONE (1) L'Oreal Paris Colorista hair color product","","https://www.coupons.com/coupons/"
"Florastor","$6","$6","0.0%","SAVE $6","on one Florastor® 50 capsule box","","https://www.coupons.com/coupons/"
"Certain Dri®","$2.00","$2.00","0.0%","SAVE $2.00","On any one Certain Dri Product","","https://www.coupons.com/coupons/"
"FoodSaver® Appliances","$10.00","$10.00","0.0%","$10.00 OFF","On any one (1) FoodSaver® Food Preservation System with a retail value of $69 or more","","https://www.coupons.com/coupons/"
"Vanquish","$3.00","$3.00","0.0%","$3.00 OFF","On any size of Vanquish caplets (100 or 120 count)","","https://www.coupons.com/coupons/"
"alli","$5.00","$5.00","0.0%","$5.00 OFF","on ONE (1) alli® 60Ct Starter Pack","","https://www.coupons.com/coupons/"
"Cosequin® for Dogs","$2.50","$2.50","0.0%","SAVE $2.50","on any Cosequin® Joint Health Supplement for Dogs","","https://www.coupons.com/coupons/"
"Advecta™","$2.00","$2.00","0.0%","SAVE $2.00","on any ONE (1) Advecta Product","","https://www.coupons.com/coupons/"
"PetLock®","$3.00","$3.00","0.0%","SAVE $3.00","on any ONE (1) PetLock Product","","https://www.coupons.com/coupons/"
"Mucinex","$4","$4","0.0%","SAVE $4","on TWO (2) Mucinex® products 28ct or larger (Available at CVS)","","https://www.coupons.com/coupons/"
"FreeStyle Precision Neo blood glucose meter","$5.00","$5.00","0.0%","$5.00 OFF","when you purchase ONE (1) FreeStyle Precision Neo meter (no prescription required)","","https://www.coupons.com/coupons/"
"ZONNIC","$2.00","$2.00","0.0%","SAVE $2.00","Off any ONE (1) ZONNIC® Nicotine Gum or Mini Lozenge","","https://www.coupons.com/coupons/"
"Albolene","$5.00","$5.00","0.0%","SAVE $5.00","on one (1) bottle of Albolene Eye Makeup Remover (Redeemable at CVS)","","https://www.coupons.com/coupons/"
"Lysol®","$0.75","$0.75","0.0%","CLICK AND SAVE","Click and Save $0.75 OFF any ONE (1) Lysol Automatic Toilet Bowl Cleaner","","https://www.coupons.com/coupons/"
"SC Johnson","$10","$10","0.0%","SAVE OVER $10","Click to save on your favorite brands like Ziploc®, Windex®, Pledge®, Scrubbing Bubbles®, Glade®, and more.","","https://www.coupons.com/coupons/"
"Flonase® Allergy Relief","$10.75","$10.75","0.0%","SAVE UP TO $10.75","On participating essentials Flonase® Allergy Relief, Clorox®, and Pine Sol® products","","https://www.coupons.com/coupons/"
"Michael Kors","25%","25%","0.0%","MOTHER'S DAY EVENT: 25% OFF FOR A LIMITED TIME","Shop Today!","","https://www.coupons.com/coupons/"
"Clinique","50%","50%","0.0%","50% OFF AN EXCLUSIVE BEAUTY CLOSET EVENT","Click through to get started.","","https://www.coupons.com/coupons/"
"Edible Arrangements","20%","20%","0.0%","20% OFF $50+ ORDERS","Click through to shop.","","https://www.coupons.com/coupons/"
"Cash Back Dining","7%","7%","0.0%","GET 7% CASH BACK AT RESTAURANTS NEAR YOU","","","https://www.coupons.com/coupons/"
"ADVECTA 3 FOR DOGS","$2","$2","0.0%","$2 OFF FLEA & TICK TREATMENT","Contains same active ingredients used in BAYER K9 ADVANTIX","","https://www.coupons.com/coupons/"
"Macy’s","30%","30%","0.0%","30% OFF FRIENDS AND FAMILY SALE","Click through to get started.","","https://www.coupons.com/coupons/"
"Amope","$25","$25","0.0%","CLICK AND SAVE","Summer ready feet after just 1 use. The Perfect Mother's Day gift. Save up to $25!","","https://www.coupons.com/coupons/"
"HP","$500","$500","0.0%","UP TO $500 OFF DESKTOPS AND ALL-IN-ONES + FREE SHIPPING","Weekly Deals","","https://www.coupons.com/coupons/"
"New Balance","10%","10%","0.0%","COUPONS.COM EXCLUSIVE! 10% OFF + FREE SHIPPING","Click through to shop.","","https://www.coupons.com/coupons/"
"Old Navy","$50","$50","0.0%","FREE SHIPPING ON $50+ ORDERS + FREE RETURNS","","","https://www.coupons.com/coupons/"
"CheapOair","$30","$30","0.0%","UP TO $30 OFF SUPER SAVER FLIGHT DEALS","Click through to shop.","","https://www.coupons.com/coupons/"
"1-800-Baskets","35%","35%","0.0%","UP TO 35% OFF SITEWIDE MOTHER'S DAY SALE","Click through to get started.","","https://www.coupons.com/coupons/"
"Free Mickey Drawstring Backpack","$1","$1","0.0%","4 DISNEY MOVIES FOR $1","FREE SHIPPING on initial order! With membership. See details.","","https://www.coupons.com/coupons/"
"Nordstrom","30%","30%","0.0%","30% OFF SELECT CLOTHING, SHOES AND ACCESSORIES","Click through to shop.","","https://www.coupons.com/coupons/"
"Snapfish","50%","50%","0.0%","MOTHER'S DAY SPECIAL! 50% OFF EVERYTHING","Click through for code","","https://www.coupons.com/coupons/"
"iRobot","$100","$100","0.0%","$100 OFF IROBOT ROOMBA 980 + FREE SHIPPING","","","https://www.coupons.com/coupons/"
