brand,cashback_today,cashback_historical,diff,offer,details,url,source
"rag-bone","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all rag & bone plus  5.0% Cash Back  from Ebates!","rag-bone.com","https://www.ebates.com/luxury/all-stores.htm"
"stuartweitzman","5.0%","5.0%","0.0%","5.0% Cash Back","Get a great deal from See all Stuart Weitzman plus  5.0% Cash Back  from Ebates!","stuartweitzman.com","https://www.ebates.com/luxury/all-stores.htm"
"briggs-riley","4.5%","4.5%","0.0%","4.5% Cash Back","Get a great deal from Briggs & Riley Travelware plus  4.5% Cash Back  from Ebates!","briggs-riley.com","https://www.ebates.com/luxury/all-stores.htm"
"elevtd","4.5%","4.5%","0.0%","4.5% Cash Back","Get a great deal from See all ELEVTD plus  4.5% Cash Back  from Ebates!","elevtd.com","https://www.ebates.com/luxury/all-stores.htm"
"joesjeans","4.5%","4.5%","0.0%","4.5% Cash Back","Get a great deal from See all JOE'S Jeans plus  4.5% Cash Back  from Ebates!","joesjeans.com","https://www.ebates.com/luxury/all-stores.htm"
"luisaviaroma","4.5%","4.5%","0.0%","Up to 4.5% Cash Back","Get a great deal from See all Luisaviaroma plus  Up to 4.5% Cash Back  from Ebates!","luisaviaroma.com","https://www.ebates.com/luxury/all-stores.htm"
"bergdorfgoodman","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Bergdorf Goodman plus  4.0% Cash Back  from Ebates!","bergdorfgoodman.com","https://www.ebates.com/luxury/all-stores.htm"
"cledepeaubeaute","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Cle de Peau Beaute plus  4.0% Cash Back  from Ebates!","cledepeaubeaute.com","https://www.ebates.com/luxury/all-stores.htm"
"dkny","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all DKNY plus  4.0% Cash Back  from Ebates!","dkny.com","https://www.ebates.com/luxury/all-stores.htm"
"dooneybourke","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Dooney & Bourke plus  4.0% Cash Back  from Ebates!","dooneybourke.com","https://www.ebates.com/luxury/all-stores.htm"
"eastdane","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all East Dane plus  4.0% Cash Back  from Ebates!","eastdane.com","https://www.ebates.com/luxury/all-stores.htm"
"ghurka","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Ghurka plus  4.0% Cash Back  from Ebates!","ghurka.com","https://www.ebates.com/luxury/all-stores.htm"
"giltgroupe","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Gilt plus  4.0% Cash Back  from Ebates!","giltgroupe.com","https://www.ebates.com/luxury/all-stores.htm"
"giorgioarmanibeauty","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from Giorgio Armani Beauty plus  4.0% Cash Back  from Ebates!","giorgioarmanibeauty.com","https://www.ebates.com/luxury/all-stores.htm"
"horchow","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Horchow plus  4.0% Cash Back  from Ebates!","horchow.com","https://www.ebates.com/luxury/all-stores.htm"
"intermix","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all INTERMIX plus  4.0% Cash Back  from Ebates!","intermix.com","https://www.ebates.com/luxury/all-stores.htm"
"jbrand","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all J Brand plus  4.0% Cash Back  from Ebates!","jbrand.com","https://www.ebates.com/luxury/all-stores.htm"
"jimmychoo","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Jimmy Choo plus  4.0% Cash Back  from Ebates!","jimmychoo.com","https://www.ebates.com/luxury/all-stores.htm"
